Column1,특성추출(가중치순 상위 50개),종목명
35,"대한통운,CJ대한통운,구조원,사회부문,환경부문,관계자,한국기업지배구조원,배출량,ESG,우수등급,사용량,지배구조부문,통합등급,전기화물차,화물차,실버택배,제주도,지배구조,부여,CJ,전동카트,사업장,투명경영,지속가능경영활동,기업지배구조,종합관리시스템,한국,KCGS",CJ대한통운
36,"대한통운,CJ대한통운,ESG,관계자,배출량,상장사,사용량,CJ,시범도입,화물차,전기화물차,실버택배,제주도,KCGS,투명경영,우수등급,구조원,전동카트,관리시스템,사업장,한국기업지배구조원,부여,한국,지속가능경영활동,지배구조부문,지배구조,종합관리시스템,사회부문,환경부문,A등급,통합등급A",CJ대한통운
37,"ESG,한솔홀딩스,지배구조,비재무적,한솔그룹,A등급,아모레퍼시픽그룹,투자자,투자기업,지속가능경영,주주친화,8개,한국,한국기업지배구조원,KCGS,구조원,CJ,LG,SK,A이상,등급,평가,환경,구조,기업,지배,경영,주주,훼손,상승,회사,통합,글로벌",한솔홀딩스
38,"한솔홀딩스,한국기업지배구조원,ESG,지배구조,지속가능경영,한국,KCGS,구조원,아모레퍼시픽그룹,8개,투자자,한솔,관계자,주주친화경영,주주친화,ESG등급,A등급,CJ,LG,SK,경영,등급,주주,평가,지배,훼손,구조,책임,상승,글로벌,일반,수준,의미,리스크,영역",한솔홀딩스
39,"ESG,한솔홀딩스,지배구조,비재무적,아모레퍼시픽그룹,투자자,투자기업,지주회사,지속가능경영,주주친화,한국,8개,한국기업지배구조원,한솔그룹,구조원,KCGS,주주친화경영,상장사,A등급,CJ,LG,SK,A이상,등급,통합,경영,구조,평가,환경,주주,기업,지배",한솔홀딩스
40,"ESG,한솔홀딩스,지배구조,비재무적,ESG등급,A등급,아모레퍼시픽그룹,투자자,투자기업,지주회사,개선활동,주주친화,8개,한국,지속가능경영,구조원,한국기업지배구조원,KCGS,한솔그룹,상장사,주주친화경영,CJ,LG,SK,C등급,A이상,통합,경영",한솔홀딩스
41,"ESG,한솔홀딩스,지배구조,비재무적,아모레퍼시픽그룹,투자자,투자기업,한국기업지배구조원,이재희,지속가능경영,한국,주주친화,8개,구조원,KCGS,ESG등급,주주친화경영,상장사,A등급,한솔그룹,CJ,LG,SK,A이상,회사,평가,등급,통합,경영,기업,주주,구조",한솔홀딩스
42,"한솔홀딩스,ESG,지배구조,비재무적,아모레퍼시픽그룹,투자자,지속가능경영,투자기업,주주친화,8개,한국,구조원,ESG등급,한국기업지배구조원,KCGS,A등급,상승해,CJ,LG,추세다,통합A,SK,A이상,등급,통합,기업,구조,지배,주주,훼손,환경,회사",한솔홀딩스
43,"ESG,한솔홀딩스,지배구조,비재무적,한솔그룹,아모레퍼시픽그룹,투자자,지속가능경영,주주친화,8개,투자기업,KCGS,한국기업지배구조원,구조원,한국,상장사,주주친화경영,A등급,CJ,LG,관계자,GOVERNANCE,SK,SOCIAL,A이상,ENVIRONMENT,등급,환경,구조,경영",한솔홀딩스
44,"지속가능,해리스,미국,CJ,CEO,삼성물산,게이츠,포스코,SK,UN,스타벅스,일동제약,수상자,구글,코로나19,친환경,제일제당,엘리엇,방탄소년단,소년단,삼성전자",일동제약
45,"보고서,제일제당,CJ제일제당,친환경,CJ,강신호,위원회,이해관계자,지속가능경영보고서,관계자,원재료,온라인,다우존스,NATURE,최우선,551톤",CJ제일제당
46,"보고서,제일제당,CJ제일제당,지속가능경영,CJ,이해관계자,위원회,강신호,친환경,지속가능경영보고서,관계자,원재료,온라인,폐기물,다우존스,영문판,이해관계자들,NATURE",CJ제일제당
47,"보고서,친환경,제일제당,지속가능경영,CJ제일제당,CJ,이해관계자,강신호,지속가능경영보고서,관계자,원재료,온라인,이해관계자들,인포그래픽",CJ제일제당
48,"경력직,지원서,근무지,CJ,삼성바이오에피스,삼성엔지니어링,포스코,경력사원,코로나바이러스,LG전자,신입공채,전문인재,박막트랜지스터,벤처투자,능동형,회로설계,지배구조,LG,자동차,코로나19,정보기술,대기업,오산",삼성엔지니어링
49,"대한통운,수소화물차,재활용,UN,충북,코로나바이러스,태평양,CJ대한통운,아시아,전기차,충전소,지속가능,주도권,1T,화물차,전기화물차,4대,울산,군포,자원부,경기도,환경부,택배업,국토교통부",CJ대한통운
50,"수소화물차,대한통운,UN,화물차,CJ대한통운,충북,우수사례,전기화물차,아시아태평양경제사회위원회,웨비,국제기후,자원부,환경부,업무협약,국토교통부,지속가능개발목표,지속가능,국제기후채권기구,아트임팩트,울산,충전소,군포,택배업,주제발표,산업통상자원부",CJ대한통운
51,"UN,대한통운,수소화물차,CJ대한통운,화물차,업사이클링,충북,전기화물차,ESG,웨비,아시아태평양경제사회위원회,연구개발,충전소,태국,자원부,환경부,국토교통부,방콕,국제기후,군포,울산",CJ대한통운
52,"UN,제일제당,최우수그룹,CJ제일제당,경영진,고위급,관계자,포장재,인증서,ESG,SDGBI,뉴욕",CJ제일제당
53,"UN,제일제당,최우수그룹,고위급,관계자,CJ제일제당,글로벌지수,포장재,인증서,ESG,경영진,SDGBI",CJ제일제당
54,"UN,제일제당,유엔본부,최우수그룹,CJ제일제당,고위급,관계자,글로벌지수,포장재,인증서,ESG,SDGBI,경영진,뉴욕",CJ제일제당
55,"UN,친환경,지속가능,코로나19,노벨,한솥,WFP,평화상,제일제당,현대그린푸드,김정훈,지속가능성,미국,사용량,식품업,CJ제일제당",현대그린푸드
56,"코웨이,소상공인,SK,소비자,음식물,NNOVATION,네트웍크,감각적,영향력,인플루언서,경제신문,AM,SKT,최우수상,정로환,체함,동성제약,신개념,광고인,특별상,SK이노베이션,사람들,코로나,싱크퓨어,신화창조,ESG,친환경,농협은행,DB,수상작",코웨이
57,"무관심,폐기물,여의도,퇴직연금,뚝뚝,기업들,운용상품,한국,인상률,코로나,충당금,시한폭탄,ESG,비대면,A19면,DC,DB,IR,기업,연금,자산,금요일,증권,수익,업체,운용,처리,매물,상품,경제,인상,손실,적극,임금,은퇴,배분,비상,퇴직,방치",DB
58,"회추위,대구은행장,우리카드,DGB,은행업,후보군,김태오,DGB금융지주,유구현,임성훈,우수상,코로나바이러스,부행장,우리은행,권혁세,전문성",DGB금융지주
59,"회추위,김태오,우리카드,DGB,유구현,임성훈,최고경영자,DGB금융지주,대구은행장,후보군,관계자,우수상,은행업,부행장,권혁세,우리은행,전문성,경영자",DGB금융지주
60,"지배구조,김태오,우수기업,ESG,이사회,경영평가,후보군,DGB,모범적,DGB금융지주,시상식,이해관계자,위원회,독립성,이해관계자들,지속가능경영,전문성,정책들,한국,다양성,부여,DGB금융그룹,구조원,환경경영,통합등급",DGB금융지주
61,"지배구조,우수기업,김태오,ESG,DGB,후보군,지속가능경영,환경경영,DGB금융지주,한국기업지배구조원,구조원,이사회,이해관계자,TCFD,기후변화,위원회,모범적,동반성장",DGB금융지주
62,"ESG,우수기업,지배구조,김태오,시상식,DGB,한국기업지배구조원,상장사,구조원,이해관계자,이해관계자들,모범적,관계자,전사적,통합등급,한국,DGB금융지주,사회책임,DGB금융,평가,기업,환경,사회,금융,경영,지배,노력,개선,책임,선정",DGB금융지주
63,"지배구조,DGB,ESG,지속가능경영,김태오,우수기업,이사회,후보군,환경경영,DGB금융지주,모범적,한국기업지배구조원,구조원,시상식,DGB금융그룹",DGB금융지주
64,"뉴딜펀드,부동산,뉴딜,보증금,전세보증금,DSR,투자금,수익률,가계부채,유동성,투자자,가능성,위원회,전세부채,송인호,변호사",DSR
65,"신한은행,뉴딜,그린뉴딜,태양광,E1,협약식,투자자,에너지저장장치,신재생,주요사업,적도원칙,환경사회책임,그린에너지,용산구,에코트랜스,포메이션,미래성장산업,미래성장,에코트랜스포메이션2020,리파이낸싱,금융기관,시중은행,관계사,수소경제,신재,금융자문주선",E1
66,"신한은행,뉴딜,그린뉴딜,태양광,E1,서울,투자자,프로젝트파이낸싱,관계자,에너지저장장치,신재생,주요사업,적도원칙,환경사회책임,그린에너지,에코트랜스,포메이션,미래성장산업,미래성장,에코트랜스포메이션2020,리파이낸싱,용산구,금융기관,시중은행,관계사,관계자들,수소경제,신재,금융자문주선",E1
67,"신한은행,그린뉴딜,뉴딜,태양광,E1,신재생에너지,맞손,서울,투자자,신재생,에너지저장장치,주요사업,적도원칙,환경사회책임,그린에너지,에코트랜스,포메이션,미래성장산업,미래성장,용산구,에코트랜스포메이션2020,리파이낸싱,MOU,시중은행,금융기관,관계사,양해각서,수소경제",E1
68,"강원랜드,코로나19,외국인,죄악주,순이익,관광객,카지노주,한한령,영업이익,직격탄,박은경,삼성증권,중국,투자자,내국인,GKL",삼성증권
69,"싱가포르,GS건설,ROBGUD,건설사,상한선,ESG,건설청,관계자,부여,매경닷컴,STAR,조성신,GS,민원관리,폐기물,구조원,지배구조,건설업계,UN,지속가능성",GS건설
70,"싱가포르,최고등급,건설사,상한선,건설청,부여,관계자,GS건설,STAR,4단계,건설업계,민원관리,폐기물,건설업,GS,환경정책,GGBS,MERIT,ESG,CERTIFIED,ESG분야,STAR등급,EXCELLENT,CHAMPION,BCA,등급,인증,건설",GS건설
71,"STAR,싱가포르,건설청,건설사,상한선,GS건설,부여,관계자,4단계,건설업계,민원관리,폐기물,건설업,GS,환경정책,STAR등급,GGBS,MERIT,ESG,CERTIFIED,ESG분야,EXCELLENT,CHAMPION",GS건설
72,"리테일,GS리테일,김시연,GS,페트병,슈퍼마켓,편의점,사회공헌,대국민,활용사업공제조합,환경부,한국,한국포장재재,직영점,프레시몰,550만,안내문,한국포장재재활용사업공제조합",GS리테일
73,"리테일,GS리테일,GS,김시연,페트병,슈퍼마켓,환경부,편의점,포장재,사회공헌,원두커피,프레시몰,그린세이브,네트워크,한국포장재재",GS리테일
74,"에쓰오일,친환경,현대오일뱅크,정유업,성적표,4사,후세인,직격탄,칼텍스,차별화,CEO,미래형,SK,SK이노베이션,정유업계,2배,GS칼텍스,GS",SK이노베이션
75,"화장품,칼텍스,친환경,미생물,GS칼텍스,판매량,허세홍,다이올,10배,미국,아모레퍼시픽,지배구조,상표권,50여개,GS,부탄다이올,그린다,LG",아모레퍼시픽
76,"미생물,발생량,다이올,화장품,지배구조,허세홍,지속가능,천연물질,칼텍스,자연생태계,사용량,판매량,중요성,GS칼텍스,부탄다이올,분리정제,화학공정,GS,ESG,제품,판매,활용,자연,공정,분리,생산,가치,물질,증가,회사,발효",GS
77,"화장품,칼텍스,10배,다이올,GS칼텍스,상표권,지배구조,그린다이올,아모레퍼시픽,판매량,부탄다이올,LG,GS,LG생활건강,GREENDIOL,ESG,판매,제품,원료,업체,소재,등록,환경,생활,상표,사회,지배,건강,구조,역량,확대,부탄,강화,브랜드,기간,세계,납품",아모레퍼시픽
78,"다이올,칼텍스,GS칼텍스,판매량,허세홍,미생물,발생량,부탄다이올,ESG,GS,사용감,관계자,지배구조,화장품,지속가능,고객사들,사용량,작물보호,우수성,고객사,분산력,순환경제",GS
79,"다이올,GS칼텍스,칼텍스,앰풀,화장품,허세홍,10배,천연물질,GS,비전선언문,지속가능,지배구조,효능물질,분산력,사용감,마스크팩,선언문,순환경제,핸드크림,광범위,미생물,판매량,중요성,부탄다이올",GS
80,"칼텍스,GS칼텍스,친환경,발생량,미생물,다이올,허세홍,10배,지속가능,ESG,GS,지배구조,사용량,판매량,광범위,부탄다이올,제품,생산,자연,공정,역량,물질,환경,평가,설명,천연,사장",GS
81,"다이올,미생물,칼텍스,허세홍,GS칼텍스,발생량,바이오매스,ESG,천연물질,생태계,작물보호,화장품,사용감,지배구조,사용량,판매량,GS,지구상,10배,분산력,중요성,광범위,분리정제,부탄다이올",GS
82,"화장품,친환경,다이올,칼텍스,GS칼텍스,유럽연합,발생량,미생물,허세홍,10배,미국,바이오매스,GS,부탄다이올,바이오공정,경영역량,EXCELLENT",GS
83,"화장품,GS칼텍스,부탄다이올,칼텍스,미생물,발생량,허세홍,미국,10배,EXCELLENT,상표권,표준원,지속가능,자원부,아모레퍼시픽,다이올,지배구조,유럽,사용감,GS,사람들,사용량",아모레퍼시픽
84,"미생물,친환경,다이올,칼텍스,GS칼텍스,허세홍,천연물질,윤동,발생량,바이오매스,GS,ESG,자원부,분리정제,지속가능,표준원,사용감",GS
85,"SK,루브리컨츠,SK루브리컨츠,윤활유,지크,차규탁,폐플라스틱,자회사,제작기술,칼텍스,연구소,지속가능,극대화,지배구조,현대오일뱅크,재활용,SK이노베이션,GS,ESG,SK종합화학,GS칼텍스,용기,제작,업계,사회,화학,재생,사용,판매,공유",SK이노베이션
86,"협약식,GS,온라인,지쉐어,지쉐어몰,코로나19,바자회,어린,ESG,임직원,임직원들,소셜,아동들,후원금,만큼",GS
87,"건설사,놀이터,GS건설,관계자,다우존스,ESG,태지수,산책로,본격화,구조원,자이,통합등급,지배구조,GS,한국기업지배구조원,한국,KCGS,DJSI,자리매김,경영,환경,기업,건설,획득,등급,지배,단지,대표,지상",GS건설
88,"GS,계열사,SK,부회장,허주홍,정기선,4세,김동관,관계자,신사업,부사장,최태원,부문장,차세대,허태수,태양광,현대중공업그룹,두산인프라코어,실리콘밸리",SK
89,"차세대,GS,계열사,SK,최태원,관계자,부사장,신사업,창업주,허태수,태양광,현대중공업그룹,허주홍,스타트업,4세,두산인프라코어,실리콘밸리",SK
90,"폐플라스틱,GS칼텍스,복합수지,칼텍스,배출량,생산량,허세홍,재활용,자동차,고객사,정유사,온실가스,화학업,GS,매출액",GS
91,"폐플라스틱,GS칼텍스,칼텍스,복합수지,재활용,생산량,자동차,승용차,허세홍,온실가스,폐기물,OECD,보고서,GS",GS
92,"복합수지,폐플라스틱,칼텍스,생산량,GS칼텍스,폐기물,재활용,000톤,허세홍,매출액,이산화탄소,2만,승용차,GS",GS
93,"복합수지,GS칼텍스,칼텍스,생산량,업사이클링,폐플라스틱,폐기물,자동차,허세홍,매출액,재활용,관리체계,ESG,지배구조,GS",GS
94,"폐플라스틱,복합수지,생산량,칼텍스,허세홍,GS칼텍스,자동차,이산화탄소,승용차,온실가스,폐기물,업사이클링,재활용,GS",GS
95,"칼텍스,GS칼텍스,코로나19,허세홍,친환경,신사업,GS,드론,영업손실,영업이익,사무실,생산시설,매출액",GS
96,"GS칼텍스,배출량,온실가스,칼텍스,이산화탄소,선언문,비전선언문,LNG,그동안,에너지효율화,여수,GS,허세홍",GS
97,"친환경,칼텍스,허세홍,폐기물,GS칼텍스,이산화탄소,배출량,전남,재활용률,공유해,사업장,여수,매출액,GS",GS
98,"친환경,칼텍스,GS칼텍스,허세홍,폐기물,이산화탄소,만큼,관계자,재활용률,GS,매출액,허세홍식,공유해,사업장,LNG",GS
99,"친환경,허세홍,폐기물,칼텍스,이산화탄소,배출량,재활용률,GS칼텍스,본격화,공유해,사업장,매출액,GS",GS
100,"칼텍스,온실가스,친환경,GS칼텍스,허세홍,배출량,천연가스,GS,이산화탄소,폐기물",GS
101,"친환경,허세홍,칼텍스,폐기물,GS칼텍스,이산화탄소,배출량,여수공장,관계자,재활용률,GS,공유해,사업장,LNG,매출액",GS
102,"STAR,싱가포르,ESG,건설사,GS건설,건설청,환경인증,상한선,환경인증제도,부여,다우존스,관계자,민원관리,폐기물,구조원,지배구조",GS건설
103,"싱가포르,건설사,ESG,건설청,상한선,GS건설,부여,다우존스,관계자,서티파이드,엑설런트,민원관리,폐기물,구조원,지배구조,건설업계,UN,건설업",GS건설
104,"싱가포르,환경인증,건설사,ESG,상한선,건설청,GS건설,부여,다우존스,관계자,서티파이드,4단계,민원관리,폐기물,구조원,지배구조,건설업계",GS건설
105,"기후변화,환경경영,배출량,모범사례,영향력,득점률,건설업,금융업,업종별,기업들,KB,한국기업지배구조원,구조원,GS건설,사용량",GS건설
106,"대한항공,아시아나항공,경쟁력,임직원,스마트휘슬,현대산업개발,태스크포스,일본,HDC현대산업개발,신고자,ESG,투명성,항공사,계열사,항공기,송현동,이사진,서울,이사회",아시아나항공
107,"순이익,자회사,협의체,베트남,JB,코로나19,김기홍,JB금융지주,만큼,증권사,계열사,수익성,전북은행,지주사,JB금융,광주은행,캐피털,모건스탠리,자기자본이익률",JB금융지주
108,"ESG,상장기업,관계자,사회책임경영,지배구조,구조원,한국기업지배구조원,환경경영,공정거래,이사회,감사기구,JB,통합등급,의사결정,재무적,김기홍,A등급,경영활동,책임감,주주권리보호,부여,투자자,한국,경영평가,JB금융지주,ESG우수기업,KCGS,GOVERNANCE,시상식,SOCIAL,ENVIRONMENTAL,평가,기업,경영,선정,책임,환경,주주",JB금융지주
109,"ESG,부패방지경영시스템,JB금융지주,상장기업,사회책임경영,지배구조,관계자,JB,37001인증,ISO,구조원,한국기업지배구조원,환경경영,영국왕립표준협회지,임직원,공정거래,이사회,당기순이익,감사기구,순이익,김기홍,통합등급,지주사,의사결정,재무적,ROA",JB금융지주
110,"ESG,지배구조,한국,사회책임경영,시상식,상장기업,이준호,JB,관계자,신진영,서울,여의도,A등급,JB금융지주,통합등급,환경경영,공정거래,이사회,감사기구,JB금융그룹,재무적,의사결정,경영활동,책임감,주주권리보호,구조원,오른쪽,KCGS,부여,거래소",JB금융지주
111,"ESG,상장기업,구조원,한국기업지배구조원,지배구조,사회책임경영,이사회,공정거래,감사기구,통합등급,주주권리보호,김기홍,A등급,부여,한국,환경경영,JB금융지주,JB,KCGS,시상식,ESG우수기업,평가,기업,선정,책임,환경,획득,구조,등급,경영,지배,지주,우수,공정,거래,보호,업무,공시,권리,복지,금융,개선",JB금융지주
112,"계열사,수익성,JB,보고서,김기홍,통합연차보고서,협력사,임직원,지역사회,JB금융,균형적,상대적,사업포트폴리오,지배구조,가치창출,경영활동,재무상황,녹색금융,코로나19,자산운용사,캐피털사,은행계열사,운용사,ESG,JB금융그룹,JB금융지주,금융,경영,사회,분야,성장",JB금융지주
113,"국민은행,플랫폼단,KB,디지털플랫폼총괄,추진단,AI,지주사,계열사,부사장,KB국민은행,개인마케팅단,마케팅단,부행장,그동안,KB금융,대전환,관계자",KB금융
114,"KB,순이익,계열사,KB금융,ESG,연구원,푸르덴셜생명,3조,당기순이익,현대차증권,6만,동남아시아,프라삭,시가총액,5만,자회사",현대차증권
115,"ESG,조직개편,2인자,우리금융,부회장,금융권,양종희,이원덕,부사장,KB금융,이사회,사내이사,공헌부,금융그룹들,신한금융,부회장직,관계자,자회사,전략부,주주총회",KB금융
116,"세계은행,개발도상국,윤종규,IFC,KB,KB금융,자금조달,업무협약,미얀마,지배구조,캄보디아,인도네시아,동남아지역,사무소,산업분야,220억,빈곤퇴치,공동번영,100여개국",KB금융
117,"세계은행,윤종규,IFC,KB금융,KB,관계자,KB금융그룹,금융서비스,개발도상국,업무협약,국제금융공사,자금조달,지배구조,미얀마,인도네시아,태평양,알폰소,100개국",KB금융
118,"세계은행,윤종규,금융서비스,IFC,국제금융공사,KB,개발도상국,상품개발,KB금융그룹,미얀마,사무소,인도네시아,자금조달,주택금융,KB금융,캄보디아,공동투자,빈곤퇴치,공동번영,업무협약,사업영역,소액대출,동남아지역,상호협력,투자기관",KB금융
119,"세계은행,IFC,KB,KB금융,윤종규,금융서비스,개발도상국,인도네시아,미얀마,지배구조,자금조달,사무소,100여개국,회원국,캄보디아,사업영역,공동투자,빈곤퇴치,공동번영,신디케이티드론,주택금융",KB금융
120,"스마트워킹,윤종규,ESG,유튜브,타운홀미팅,책임감,푸르덴셜생명,직원들,KB금융,경영자,최고경영자,생명보험사,보험사,신성장,지배구조,코로나19,자율성,실시간,KB,CEO,시간DATE,회장,금융,직원,방식,경영,생각",KB금융
121,"직원들,윤종규,타운홀미팅,유튜브,스마트워킹,KB,미얀마,실시간,관계자,홀미팅,ESG,계열사,ESG경영,타운홀,책임감,지속가능성,사회자,KB금융그룹,육아휴직중,멜랑,KB금융,업무효율,기업문화,동반성장,채팅창,세대별,사업부,국민은행",KB금융
